,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score,total_population,white_total_pct,black_total_pct,aian_total_pct,asian_total_pct,nhopi_total_pct,multiracial_total_pct
0,3667.0,22.0,CA,Alameda,Large central metro,573,"10,908",0.019,0.008,0.055,0.123,0.795,3.667,1671329.0,49.28,11.03,1.06,32.33,0.94,5.35
1,0.0,0.0,CA,Alpine,,0,0,0.025,0.085,0.088,0.19,0.612,3.279,1129.0,67.94,0.35,25.69,1.59,0.0,4.43
2,52.0,1.0,CA,Amador,Noncore,31,415,0.045,0.013,0.099,0.188,0.655,3.3950000000000005,39752.0,89.65,2.68,2.33,1.67,0.29,3.38
3,553.0,6.0,CA,Butte,Small metro,101,"2,313",0.015,0.043,0.111,0.204,0.626,3.381,219186.0,85.65,1.9,2.53,5.01,0.29,4.62
4,25.0,1.0,CA,Calaveras,Noncore,12,385,0.045,0.019,0.098,0.276,0.562,3.2910000000000004,45905.0,90.95,1.08,1.97,1.87,0.27,3.85
5,48.0,1.0,CA,Colusa,Noncore,12,116,0.027,0.031,0.092,0.151,0.7,3.468,21547.0,91.1,1.31,2.76,1.56,0.6,2.66
6,1803.0,10.0,CA,Contra Costa,Large fringe metro,293,"8,181",0.018,0.016,0.039,0.121,0.8059999999999999,3.681,1153526.0,65.13,9.54,1.02,18.3,0.6,5.42
7,49.0,1.0,CA,Del Norte,,0,0,0.01,0.135,0.1119999999999999,0.196,0.547,3.135,27812.0,78.1,3.52,9.68,3.1,0.19,5.41
8,252.0,3.0,CA,El Dorado,,0,0,0.0279999999999999,0.042,0.072,0.183,0.675,3.435,192843.0,88.64,1.04,1.33,4.83,0.23,3.93
9,3584.0,15.0,CA,Fresno,Medium metro,679,"8,453",0.021,0.022,0.059,0.156,0.741,3.572,999101.0,76.59,5.8,2.98,11.15,0.28,3.21
10,47.0,1.0,CA,Glenn,,0,0,0.0279999999999999,0.026,0.146,0.206,0.594,3.3120000000000003,28393.0,89.08,1.33,3.22,3.13,0.21,3.02
11,299.0,6.0,CA,Humboldt,Micropolitan,11,"1,243",0.042,0.006,0.018,0.069,0.865,3.709,135558.0,83.23,1.49,6.37,2.9,0.33,5.68
12,268.0,2.0,CA,Imperial,Small metro,260,"1,266",0.001,0.005,0.03,0.128,0.836,3.793,181215.0,90.19,3.32,2.48,2.11,0.2,1.7
13,62.0,2.0,CA,Inyo,Noncore,18,191,0.033,0.011,0.008,0.0579999999999999,0.889,3.757,18039.0,79.85,1.21,13.5,1.7,0.17,3.56
14,1892.0,14.0,CA,Kern,Medium metro,547,"6,816",0.022,0.0279999999999999,0.105,0.177,0.6679999999999999,3.441,900202.0,82.31,6.25,2.63,5.36,0.27,3.17
15,173.0,1.0,CA,Kings,Small metro,156,"1,001",0.075,0.016,0.049,0.094,0.7659999999999999,3.4599999999999995,152940.0,80.85,7.47,3.21,4.39,0.35,3.74
16,62.0,2.0,CA,Lake,Micropolitan,21,637,0.003,0.004,0.0069999999999999,0.136,0.8490000000000001,3.822000000000001,64386.0,87.05,2.1,4.47,1.38,0.3,4.7
17,25.0,1.0,CA,Lassen,,0,0,0.064,0.068,0.162,0.225,0.482,2.995,30573.0,80.92,8.4,4.26,1.6,0.86,3.96
18,26672.0,112.0,CA,Los Angeles,Large central metro,"8,034","75,463",0.021,0.013,0.049,0.131,0.7859999999999999,3.648,10039107.0,70.71,8.96,1.43,15.39,0.37,3.14
19,464.0,2.0,CA,Madera,Small metro,104,"1,014",0.019,0.059,0.048,0.124,0.7509999999999999,3.531,157327.0,85.92,4.17,4.44,2.55,0.31,2.61
20,458.0,4.0,CA,Marin,Large fringe metro,116,"2,060",0.011,0.0,0.046,0.141,0.802,3.723,258826.0,85.32,2.84,0.99,6.6,0.28,3.98
21,34.0,1.0,CA,Mariposa,,0,0,0.01,0.094,0.049,0.186,0.6609999999999999,3.394,17203.0,89.31,1.32,3.53,1.65,0.19,4.0
22,142.0,3.0,CA,Mendocino,Micropolitan,23,884,0.002,0.003,0.004,0.222,0.77,3.757,86749.0,86.06,1.14,6.33,2.28,0.26,3.92
23,242.0,3.0,CA,Merced,Medium metro,128,"1,608",0.026,0.036,0.089,0.146,0.703,3.4639999999999995,277680.0,82.16,3.94,2.54,7.77,0.38,3.22
24,113.0,2.0,CA,Modoc,,0,0,0.068,0.019,0.095,0.204,0.615,3.281,8841.0,88.2,1.44,5.07,1.21,0.36,3.72
25,17.0,1.0,CA,Mono,,0,0,0.011,0.026,0.012,0.07,0.88,3.78,14444.0,90.13,0.82,2.87,2.56,0.37,3.25
26,794.0,5.0,CA,Monterey,Medium metro,173,"2,815",0.023,0.006,0.066,0.141,0.763,3.613,434061.0,82.84,3.45,2.6,6.73,0.61,3.78
27,1777.0,3.0,CA,Napa,Small metro,33,"1,254",0.017,0.026,0.033,0.149,0.773,3.631,137744.0,83.63,2.46,1.27,8.9,0.42,3.32
28,174.0,2.0,CA,Nevada,Micropolitan,48,"1,017",0.003,0.054,0.084,0.177,0.682,3.481,99755.0,93.28,0.63,1.28,1.46,0.21,3.13
29,7985.0,38.0,CA,Orange,Large central metro,"1,898","22,887",0.023,0.021,0.046,0.156,0.754,3.597,3175692.0,71.12,2.14,1.02,21.72,0.39,3.61
30,732.0,3.0,CA,Placer,Large fringe metro,184,"4,064",0.012,0.023,0.072,0.201,0.693,3.542,398329.0,83.92,1.95,1.06,8.24,0.27,4.56
31,101.0,2.0,CA,Plumas,,0,0,0.063,0.067,0.053,0.146,0.6709999999999999,3.295,18807.0,90.52,1.07,3.17,1.09,0.17,3.97
32,4067.0,23.0,CA,Riverside,Large central metro,"1,859","19,405",0.026,0.0139999999999999,0.0409999999999999,0.1159999999999999,0.8029999999999999,3.656,2470546.0,79.59,7.27,1.92,7.15,0.45,3.62
33,3489.0,16.0,CA,Sacramento,Large central metro,763,"13,152",0.025,0.0279999999999999,0.062,0.1639999999999999,0.722,3.532,1552058.0,62.75,10.86,1.55,17.01,1.29,6.54
34,144.0,2.0,CA,San Benito,Large fringe metro,17,305,0.018,0.004,0.063,0.175,0.7390000000000001,3.611,62808.0,87.36,1.64,3.07,3.91,0.45,3.57
35,5988.0,28.0,CA,San Bernardino,Large fringe metro,"1,804","17,369",0.027,0.022,0.048,0.134,0.768,3.592,2180085.0,76.56,9.38,2.07,7.96,0.47,3.56
36,7600.0,27.0,CA,San Diego,Large central metro,"1,505","24,354",0.017,0.023,0.034,0.126,0.8,3.669,3338330.0,75.41,5.53,1.32,12.58,0.58,4.58
37,4819.0,17.0,CA,San Francisco,Large central metro,188,"6,394",0.017,0.011,0.035,0.121,0.8170000000000001,3.712,881549.0,52.78,5.56,0.73,35.98,0.46,4.49
38,1247.0,9.0,CA,San Joaquin,Medium metro,597,"6,214",0.054,0.019,0.081,0.165,0.68,3.396,762148.0,66.07,8.3,1.97,17.35,0.82,5.49
39,1740.0,6.0,CA,San Luis Obispo,Medium metro,62,"2,332",0.025,0.024,0.037,0.1689999999999999,0.745,3.585,283111.0,88.81,2.02,1.4,3.99,0.18,3.6
40,1724.0,8.0,CA,San Mateo,Large fringe metro,223,"4,779",0.016,0.013,0.0579999999999999,0.126,0.7859999999999999,3.651,766573.0,59.49,2.77,0.86,30.6,1.5,4.78
41,1089.0,7.0,CA,Santa Barbara,Medium metro,166,"3,470",0.015,0.02,0.075,0.153,0.737,3.577,446499.0,85.37,2.44,2.14,6.02,0.26,3.77
42,3693.0,16.0,CA,Santa Clara,Large central metro,556,"11,551",0.015,0.0139999999999999,0.04,0.168,0.764,3.654,1927852.0,52.35,2.83,1.18,39.02,0.46,4.16
43,372.0,4.0,CA,Santa Cruz,Medium metro,80,"1,743",0.008,0.0,0.086,0.109,0.797,3.687,273213.0,86.99,1.47,1.83,5.28,0.2,4.22
44,721.0,6.0,CA,Shasta,Small metro,82,"2,525",0.095,0.0559999999999999,0.071,0.2319999999999999,0.547,3.082,180080.0,87.61,1.25,3.18,3.14,0.23,4.6
45,0.0,0.0,CA,Sierra,,0,0,0.14,0.053,0.047,0.143,0.617,3.044,3005.0,92.61,0.7,2.56,0.87,0.13,3.13
46,61.0,2.0,CA,Siskiyou,,0,0,0.132,0.074,0.0819999999999999,0.1669999999999999,0.546,2.923,43539.0,85.85,1.53,5.12,1.59,0.36,5.55
47,753.0,7.0,CA,Solano,Medium metro,153,"3,539",0.043,0.046,0.035,0.148,0.728,3.472,447643.0,59.6,14.77,1.29,16.16,1.04,7.15
48,892.0,9.0,CA,Sonoma,Medium metro,186,"4,344",0.022,0.012,0.022,0.149,0.795,3.683,494336.0,86.75,2.07,2.18,4.57,0.41,4.01
49,1580.0,10.0,CA,Stanislaus,Medium metro,678,"5,852",0.032,0.0279999999999999,0.062,0.173,0.705,3.491,550660.0,83.26,3.52,1.99,6.14,0.93,4.15
50,46.0,3.0,CA,Sutter,Small metro,23,590,0.0579999999999999,0.031,0.08,0.163,0.669,3.356,96971.0,72.7,2.75,2.39,16.97,0.43,4.77
51,92.0,2.0,CA,Tehama,Micropolitan,29,572,0.057,0.062,0.141,0.195,0.545,3.109,65084.0,90.25,1.07,3.31,1.44,0.23,3.7
52,48.0,1.0,CA,Trinity,,0,0,0.081,0.07,0.055,0.201,0.5920000000000001,3.151,12285.0,86.99,0.76,5.18,1.5,0.24,5.34
53,1974.0,3.0,CA,Tulare,Medium metro,385,"3,434",0.025,0.039,0.115,0.136,0.685,3.4170000000000003,466195.0,88.17,2.18,2.77,3.98,0.23,2.67
54,152.0,2.0,CA,Tuolumne,Micropolitan,25,684,0.008,0.043,0.084,0.212,0.653,3.459,54478.0,90.33,2.01,2.28,1.49,0.28,3.62
55,1623.0,11.0,CA,Ventura,Medium metro,243,"6,076",0.024,0.011,0.033,0.156,0.777,3.653,846006.0,84.05,2.4,1.86,7.88,0.29,3.52
56,153.0,2.0,CA,Yolo,Large fringe metro,88,"1,251",0.0069999999999999,0.005,0.04,0.156,0.7909999999999999,3.717,220500.0,73.99,2.98,1.78,15.06,0.58,5.62
57,221.0,1.0,CA,Yuba,Small metro,34,785,0.057,0.035,0.071,0.1669999999999999,0.669,3.354,78668.0,78.39,4.45,2.86,7.35,0.55,6.41
58,25.0,2.0,OR,Baker,,0,0,0.051,0.1889999999999999,0.179,0.1889999999999999,0.392,2.682,16124.0,93.7,0.69,1.56,0.93,0.15,2.98
59,134.0,1.0,OR,Benton,Small metro,12,653,0.0069999999999999,0.0069999999999999,0.059,0.156,0.77,3.673,93053.0,86.53,1.22,0.88,7.02,0.27,4.07
60,467.0,4.0,OR,Clackamas,Large fringe metro,95,"3,475",0.016,0.024,0.071,0.168,0.721,3.554,418187.0,88.88,1.19,1.09,4.86,0.29,3.69
61,50.0,2.0,OR,Clatsop,,0,0,0.052,0.027,0.051,0.073,0.797,3.536,40224.0,92.57,0.87,1.35,1.63,0.3,3.29
62,0.0,0.0,OR,Columbia,,0,0,0.048,0.015,0.158,0.174,0.604,3.269,52354.0,92.42,0.76,1.55,1.14,0.24,3.89
63,173.0,3.0,OR,Coos,,0,0,0.128,0.061,0.136,0.099,0.5770000000000001,2.9380000000000006,64487.0,90.44,0.62,2.99,1.27,0.28,4.4
64,25.0,1.0,OR,Crook,,0,0,0.019,0.075,0.027,0.246,0.633,3.399,24404.0,94.72,0.46,1.74,0.7,0.11,2.28
65,24.0,1.0,OR,Curry,,0,0,0.025,0.0579999999999999,0.1,0.162,0.655,3.364,22925.0,91.83,0.55,2.64,0.85,0.17,3.97
66,274.0,2.0,OR,Deschutes,Small metro,35,"1,714",0.01,0.061,0.0139999999999999,0.25,0.6659999999999999,3.503,197692.0,94.1,0.57,1.1,1.28,0.16,2.8
67,145.0,3.0,OR,Douglas,Micropolitan,22,"1,472",0.0819999999999999,0.052,0.1159999999999999,0.239,0.511,3.045,110980.0,92.58,0.54,2.11,1.1,0.18,3.48
68,0.0,0.0,OR,Gilliam,,0,0,0.008,0.003,0.049,0.332,0.607,3.525,1912.0,93.51,0.26,2.14,0.94,0.52,2.62
69,16.0,1.0,OR,Grant,,0,0,0.0139999999999999,0.062,0.132,0.12,0.6709999999999999,3.37,7199.0,94.3,0.28,1.69,0.69,0.13,2.9
70,25.0,1.0,OR,Harney,,0,0,0.032,0.099,0.114,0.157,0.598,3.19,7393.0,90.63,1.04,4.42,0.6,0.01,3.3
